Farm,Lot,Total Quantity,Pathogen Presence,Margin,Alphagos
Farm 5,11,23619,true,19668,0
Farm 5,55,19616,true,13816,0
Farm 5,158,19675,true,14848,0
Farm 5,268,19718,true,15448,0
Farm 5,10,19463,false,15337,0
Farm 5,26,23481,false,21341,0
Farm 5,25,19619,false,17280,0
Farm 5,56,23340,false,17323,0
Farm 5,157,23493,false,12595,0
Farm 5,179,23260,false,18548,0
Farm 5,180,19659,false,13269,0
Farm 5,201,19455,false,17386,0
Farm 5,202,23499,false,15171,0
Farm 5,227,23762,false,19764,0
Farm 5,226,19800,false,12603,0
Farm 5,252,23497,false,18671,0
Farm 5,251,20114,false,16104,0
Farm 5,269,23487,false,16328,0
Farm 7,203,29359,true,25817,0
Farm 7,205,38984,true,33658,0
Farm 7,222,29462,true,30361,0
Farm 7,221,29427,true,27342,0
Farm 7,223,38790,true,33900,0
Farm 7,5,29466,false,28693,0
Farm 7,4,29379,false,25902,0
Farm 7,6,39524,false,35003,0
Farm 7,19,29327,false,26246,0
Farm 7,18,29428,false,26551,0
Farm 7,20,39085,false,28812,0
Farm 7,38,29205,false,28809,0
Farm 7,37,29203,false,28345,0
Farm 7,39,39105,false,32572,0
Farm 7,52,29418,false,30576,0
Farm 7,54,39036,false,34656,0
Farm 7,53,29372,false,18260,0
Farm 7,65,29443,false,30340,0
Farm 7,64,29305,false,26715,0
Farm 7,66,39076,false,31134,0
Farm 7,84,29330,false,25984,0
Farm 7,83,29202,false,24954,0
Farm 7,85,38779,false,28180,0
Farm 7,108,29426,false,30015,0
Farm 7,110,38890,false,38608,0
Farm 7,109,29088,false,28405,0
Farm 7,119,39115,false,34947,0
Farm 7,117,29408,false,26072,0
Farm 7,118,29276,false,24467,0
Farm 7,135,29413,false,27390,0
Farm 7,136,29693,false,26661,0
Farm 7,137,39085,false,34447,0
Farm 7,162,29286,false,27542,0
Farm 7,161,29269,false,24971,0
Farm 7,163,38772,false,33154,0
Farm 7,182,30029,false,32130,0
Farm 7,181,30038,false,31097,0
Farm 7,183,38857,false,34112,0
Farm 7,204,29341,false,27743,0
Farm 7,286,38932,false,36326,0
Farm 7,285,30016,false,26509,0
Farm 7,284,29954,false,26604,0
Farm 7,246,29419,true,33104,0
Farm 7,245,29210,true,29889,0
Farm 7,247,39894,true,38466,0
Farm 7,263,29651,true,26557,0
Farm 7,262,29368,true,26565,0
Farm 7,264,39706,true,31649,0
Farm 9,207,39922,true,24654,0
Farm 9,206,39949,true,18318,0
Farm 9,229,40165,true,25158,0
Farm 9,230,40547,true,20351,0
Farm 9,294,39564,true,24294,0
Farm 9,70,39229,false,18547,0
Farm 9,71,38302,false,17506,0
Farm 9,81,39670,false,24831,0
Farm 9,82,38136,false,19056,0
Farm 9,97,38840,false,24192,0
Farm 9,98,38872,false,24032,0
Farm 9,112,38899,false,24821,0
Farm 9,111,39715,false,25019,0
Farm 9,133,39162,false,23826,0
Farm 9,132,39536,false,21899,0
Farm 9,150,38898,false,29236,0
Farm 9,149,39625,false,22617,0
Farm 9,166,40312,false,27887,0
Farm 9,167,40088,false,25261,0
Farm 9,185,39956,false,30192,0
Farm 9,184,39746,false,25573,0
Farm 9,243,39692,false,21224,0
Farm 9,257,39951,false,21003,0
Farm 9,277,38792,false,22016,0
Farm 9,287,40274,false,30362,0
Farm 9,299,40096,false,32393,0
Farm 9,244,39917,false,25627,0
Farm 1,61,23503,true,16282,0
Farm 1,62,23496,true,16157,0
Farm 1,79,23642,true,20510,0
Farm 1,99,23543,true,17805,0
Farm 1,100,23304,true,15935,0
Farm 1,124,23421,true,15837,0
Farm 1,123,23303,true,14838,0
Farm 1,209,23553,true,11891,0
Farm 1,14,22871,false,19547,0
Farm 1,15,23202,false,17633,0
Farm 1,33,23484,false,20359,0
Farm 1,32,23337,false,20151,0
Farm 1,48,23292,false,19168,0
Farm 1,47,23551,false,19658,0
Farm 1,80,23273,false,19307,0
Farm 1,144,24072,false,19677,0
Farm 1,145,23589,false,21123,0
Farm 1,169,23524,false,19581,0
Farm 1,168,23337,false,18803,0
Farm 1,187,23411,false,16576,0
Farm 1,186,23578,false,14556,0
Farm 1,208,23573,false,16383,0
Farm 1,238,23507,false,19180,0
Farm 1,237,23639,false,15912,0
Farm 2,13,32449,true,17785,0
Farm 2,12,32243,true,15888,0
Farm 2,120,32345,true,20527,0
Farm 2,200,32245,true,20586,0
Farm 2,199,32202,true,18383,0
Farm 2,214,32073,true,21654,0
Farm 2,235,32358,true,13705,0
Farm 2,278,33415,true,23549,1
Farm 2,279,33189,true,20643,1
Farm 2,104,32218,false,25511,0
Farm 2,105,31853,false,24419,0
Farm 2,121,31960,false,21344,0
Farm 2,139,32018,false,24944,0
Farm 2,138,32301,false,24425,0
Farm 2,160,32647,false,25776,0
Farm 2,159,32416,false,24613,0
Farm 2,213,32101,false,16720,0
Farm 2,236,32207,false,19531,0
Farm 2,295,34001,false,24802,1
Farm 2,296,33505,false,23778,1
Farm 2,298,32417,false,20406,1
Farm 2,297,31376,false,22155,1
Farm 2,16,32092,false,21673,0
Farm 2,17,32189,false,17877,0
Farm 2,30,32253,false,24192,0
Farm 2,31,31886,false,18855,0
Farm 6,23,26252,true,20099,0
Farm 6,43,19693,true,18590,0
Farm 6,73,16665,true,14891,0
Farm 6,72,20934,true,17583,0
Farm 6,114,16789,true,11654,0
Farm 6,113,21116,true,14191,0
Farm 6,142,25500,true,18648,0
Farm 6,171,15648,true,15329,0
Farm 6,188,25115,true,20509,0
Farm 6,189,18672,true,14071,0
Farm 6,255,25104,true,20512,0
Farm 6,274,18645,true,16498,0
Farm 6,275,20359,true,16513,0
Farm 6,22,16727,false,14535,0
Farm 6,21,20979,false,18488,0
Farm 6,24,19488,false,14837,0
Farm 6,40,21309,false,18627,0
Farm 6,41,16758,false,14069,0
Farm 6,42,26270,false,20919,0
Farm 6,57,21041,false,19141,0
Farm 6,58,16845,false,14226,0
Farm 6,60,19638,false,14085,0
Farm 6,59,26426,false,17356,0
Farm 6,74,26321,false,21834,0
Farm 6,75,19780,false,15029,0
Farm 6,91,16731,false,12924,0
Farm 6,92,26541,false,17864,0
Farm 6,93,19510,false,13508,0
Farm 6,90,21128,false,13765,0
Farm 6,116,19659,false,17812,0
Farm 6,115,26377,false,19817,0
Farm 6,140,20165,false,16457,0
Farm 6,143,18753,false,16186,0
Farm 6,141,15909,false,12986,0
Farm 6,164,24879,false,20814,0
Farm 6,165,18454,false,15883,0
Farm 6,170,20129,false,17849,0
Farm 6,211,15819,false,14089,0
Farm 6,210,20102,false,14429,0
Farm 6,231,19890,false,19500,0
Farm 6,232,15969,false,11722,0
Farm 6,233,25444,false,24171,0
Farm 6,234,18778,false,14385,0
Farm 6,256,18421,false,13643,0
Farm 6,253,20122,false,16350,0
Farm 6,254,15866,false,12297,0
Farm 6,273,24794,false,23995,0
Farm 6,276,15684,false,11567,0
Farm 8,69,39116,true,35176,0
Farm 8,177,38830,true,36457,0
Farm 8,178,39023,true,36213,0
Farm 8,197,38796,true,33907,0
Farm 8,198,39096,true,29834,0
Farm 8,1,24979,false,20328,0
Farm 8,2,38762,false,36581,0
Farm 8,3,38932,false,35813,0
Farm 8,35,39036,false,31919,0
Farm 8,34,24927,false,20665,0
Farm 8,36,38594,false,40656,0
Farm 8,49,25132,false,22125,0
Farm 8,50,38779,false,39713,0
Farm 8,51,38892,false,37110,0
Farm 8,68,38977,false,39234,0
Farm 8,67,25174,false,24108,0
Farm 8,88,39011,false,42825,0
Farm 8,86,25081,false,22296,0
Farm 8,87,39582,false,43122,0
Farm 8,103,39037,false,42694,0
Farm 8,101,25221,false,21014,0
Farm 8,102,39737,false,39227,0
Farm 8,126,38948,false,38198,0
Farm 8,125,24928,false,23384,0
Farm 8,122,39130,false,39121,0
Farm 8,148,39051,false,37577,0
Farm 8,147,39586,false,34810,0
Farm 8,146,25109,false,19573,0
Farm 8,176,25014,false,20811,0
Farm 8,267,38990,false,44357,0
Farm 8,266,39013,false,45606,0
Farm 8,265,25160,false,28884,0
Farm 8,291,25179,false,23383,0
Farm 8,292,39733,false,41342,0
Farm 8,293,38948,false,36023,0
Farm 8,250,39138,false,41318,0
Farm 8,249,39602,false,37925,0
Farm 8,248,25186,false,26599,0
Farm 8,228,39070,true,37725,0
Farm 8,225,38813,true,40859,0
Farm 8,224,24908,true,22587,0
Farm 3,9,35272,true,27686,0
Farm 3,7,19766,true,13917,0
Farm 3,8,19551,true,12001,0
Farm 3,27,19749,true,19792,0
Farm 3,28,19755,true,17045,0
Farm 3,29,35168,true,23929,0
Farm 3,44,19735,true,20491,0
Farm 3,46,34972,true,32575,0
Farm 3,45,19584,true,17087,0
Farm 3,76,19557,true,20526,0
Farm 3,77,19434,true,15614,0
Farm 3,78,34939,true,25977,0
Farm 3,96,34960,true,27699,0
Farm 3,94,19598,true,16344,0
Farm 3,95,19539,true,13530,0
Farm 3,127,19454,true,18403,0
Farm 3,129,35264,true,28485,0
Farm 3,128,19518,true,14569,0
Farm 3,153,19529,true,18264,0
Farm 3,155,35149,true,28938,0
Farm 3,154,19891,true,16518,0
Farm 3,191,19725,false,19483,0
Farm 3,190,19453,false,18719,0
Farm 3,192,35199,false,28560,0
Farm 3,218,19666,false,19196,0
Farm 3,219,19771,false,16884,0
Farm 3,220,35154,false,29532,0
Farm 3,271,19398,false,18020,0
Farm 3,270,19385,false,17834,0
Farm 3,272,35919,false,27314,0
Farm 3,289,19420,false,17580,0
Farm 3,288,19738,false,17531,0
Farm 3,290,34900,false,31952,0
Farm 4,134,23039,true,19385,0
Farm 4,156,22982,true,20300,0
Farm 4,212,20135,true,20112,0
Farm 4,259,20385,true,19379,0
Farm 4,63,20564,false,16157,0
Farm 4,89,20788,false,17595,0
Farm 4,107,21294,false,21991,0
Farm 4,106,20742,false,19733,0
Farm 4,131,21638,false,17832,0
Farm 4,130,20745,false,19147,0
Farm 4,151,20592,false,20863,0
Farm 4,152,21287,false,18939,0
Farm 4,173,20563,false,22660,0
Farm 4,174,18825,false,23348,0
Farm 4,172,20659,false,18995,0
Farm 4,175,22399,false,16595,0
Farm 4,196,20405,false,21324,0
Farm 4,195,19143,false,20977,0
Farm 4,193,22506,false,23490,0
Farm 4,194,21107,false,17327,0
Farm 4,217,22071,false,24436,0
Farm 4,215,20536,false,20508,0
Farm 4,216,18996,false,17387,0
Farm 4,241,18826,false,18584,0
Farm 4,240,20292,false,15884,0
Farm 4,239,22497,false,17640,0
Farm 4,260,18908,false,17895,0
Farm 4,258,22049,false,18725,0
Farm 4,261,22139,false,21180,0
Farm 4,281,20059,false,18698,0
Farm 4,280,22387,false,19897,0
Farm 4,282,18957,false,18547,0
Farm 4,283,22047,false,18677,0
Farm 4,242,22100,false,24342,0
